"ID","quality"
5464,"6"
5465,"6"
5466,"5"
5467,"6"
5468,"5"
5469,"6"
5470,"7"
5471,"6"
5472,"7"
5473,"6"
5474,"7"
5475,"6"
5476,"5"
5477,"6"
5478,"5"
5479,"6"
5480,"6"
5481,"6"
5482,"5"
5483,"7"
5484,"6"
5485,"5"
5486,"5"
5487,"5"
5488,"6"
5489,"6"
5490,"6"
5491,"6"
5492,"6"
5493,"6"
5494,"7"
5495,"7"
5496,"6"
5497,"6"
5498,"5"
5499,"7"
5500,"5"
5501,"6"
5502,"6"
5503,"6"
5504,"6"
5505,"5"
5506,"5"
5507,"5"
5508,"6"
5509,"7"
5510,"6"
5511,"7"
5512,"6"
5513,"7"
5514,"6"
5515,"7"
5516,"7"
5517,"7"
5518,"7"
5519,"5"
5520,"6"
5521,"5"
5522,"5"
5523,"7"
5524,"6"
5525,"5"
5526,"6"
5527,"7"
5528,"6"
5529,"7"
5530,"6"
5531,"5"
5532,"6"
5533,"5"
5534,"6"
5535,"6"
5536,"5"
5537,"5"
5538,"6"
5539,"7"
5540,"7"
5541,"7"
5542,"7"
5543,"6"
5544,"7"
5545,"7"
5546,"6"
5547,"5"
5548,"7"
5549,"5"
5550,"6"
5551,"7"
5552,"6"
5553,"7"
5554,"6"
5555,"6"
5556,"5"
5557,"5"
5558,"7"
5559,"6"
5560,"6"
5561,"5"
5562,"5"
5563,"5"
5564,"6"
5565,"5"
5566,"5"
5567,"7"
5568,"6"
5569,"7"
5570,"6"
5571,"6"
5572,"6"
5573,"6"
5574,"5"
5575,"5"
5576,"7"
5577,"6"
5578,"6"
5579,"6"
5580,"6"
5581,"5"
5582,"6"
5583,"6"
5584,"6"
5585,"6"
5586,"6"
5587,"5"
5588,"6"
5589,"7"
5590,"7"
5591,"5"
5592,"5"
5593,"6"
5594,"5"
5595,"7"
5596,"7"
5597,"5"
5598,"6"
5599,"6"
5600,"6"
5601,"5"
5602,"6"
5603,"6"
5604,"7"
5605,"7"
5606,"6"
5607,"5"
5608,"7"
5609,"6"
5610,"5"
5611,"6"
5612,"5"
5613,"6"
5614,"5"
5615,"5"
5616,"6"
5617,"6"
5618,"7"
5619,"5"
5620,"6"
5621,"5"
5622,"7"
5623,"6"
5624,"5"
5625,"6"
5626,"6"
5627,"6"
5628,"6"
5629,"6"
5630,"7"
5631,"7"
5632,"6"
5633,"6"
5634,"6"
5635,"7"
5636,"6"
5637,"5"
5638,"6"
5639,"6"
5640,"6"
5641,"6"
5642,"7"
5643,"6"
5644,"6"
5645,"6"
5646,"6"
5647,"6"
5648,"6"
5649,"6"
5650,"8"
5651,"7"
5652,"6"
5653,"6"
5654,"6"
5655,"6"
5656,"6"
5657,"6"
5658,"6"
5659,"7"
5660,"6"
5661,"6"
5662,"7"
5663,"6"
5664,"5"
5665,"5"
5666,"5"
5667,"6"
5668,"5"
5669,"6"
5670,"5"
5671,"6"
5672,"7"
5673,"7"
5674,"6"
5675,"6"
5676,"7"
5677,"7"
5678,"7"
5679,"6"
5680,"6"
5681,"6"
5682,"6"
5683,"5"
5684,"6"
5685,"6"
5686,"5"
5687,"5"
5688,"5"
5689,"6"
5690,"6"
5691,"6"
5692,"6"
5693,"5"
5694,"6"
5695,"6"
5696,"7"
5697,"7"
5698,"6"
5699,"7"
5700,"6"
5701,"6"
5702,"5"
5703,"5"
5704,"6"
5705,"6"
5706,"6"
5707,"7"
5708,"5"
5709,"6"
5710,"7"
5711,"5"
5712,"6"
5713,"6"
5714,"5"
5715,"5"
5716,"7"
5717,"6"
5718,"5"
5719,"6"
5720,"7"
5721,"6"
5722,"7"
5723,"6"
5724,"5"
5725,"7"
5726,"6"
5727,"6"
5728,"6"
5729,"6"
5730,"7"
5731,"7"
5732,"7"
5733,"5"
5734,"6"
5735,"6"
5736,"6"
5737,"5"
5738,"5"
5739,"6"
5740,"6"
5741,"6"
5742,"5"
5743,"6"
5744,"5"
5745,"6"
5746,"6"
5747,"6"
5748,"7"
5749,"6"
5750,"7"
5751,"6"
5752,"6"
5753,"5"
5754,"6"
5755,"5"
5756,"6"
5757,"5"
5758,"6"
5759,"6"
5760,"7"
5761,"6"
5762,"7"
5763,"7"
5764,"6"
5765,"5"
5766,"6"
5767,"6"
5768,"5"
5769,"6"
5770,"5"
5771,"6"
5772,"7"
5773,"6"
5774,"6"
5775,"6"
5776,"6"
5777,"6"
5778,"6"
5779,"6"
5780,"6"
5781,"6"
5782,"7"
5783,"7"
5784,"7"
5785,"6"
5786,"7"
5787,"6"
5788,"6"
5789,"6"
5790,"6"
5791,"6"
5792,"6"
5793,"6"
5794,"6"
5795,"5"
5796,"5"
5797,"6"
5798,"6"
5799,"6"
5800,"5"
5801,"7"
5802,"6"
5803,"7"
5804,"5"
5805,"6"
5806,"6"
5807,"6"
5808,"7"
5809,"5"
5810,"6"
5811,"6"
5812,"6"
5813,"6"
5814,"5"
5815,"7"
5816,"5"
5817,"7"
5818,"7"
5819,"6"
5820,"6"
5821,"7"
5822,"5"
5823,"6"
5824,"6"
5825,"6"
5826,"6"
5827,"7"
5828,"5"
5829,"6"
5830,"6"
5831,"6"
5832,"6"
5833,"6"
5834,"7"
5835,"6"
5836,"7"
5837,"6"
5838,"6"
5839,"6"
5840,"6"
5841,"6"
5842,"7"
5843,"7"
5844,"7"
5845,"6"
5846,"5"
5847,"6"
5848,"5"
5849,"7"
5850,"5"
5851,"6"
5852,"6"
5853,"5"
5854,"6"
5855,"6"
5856,"6"
5857,"5"
5858,"6"
5859,"6"
5860,"6"
5861,"5"
5862,"6"
5863,"6"
5864,"6"
5865,"7"
5866,"6"
5867,"6"
5868,"6"
5869,"5"
5870,"6"
5871,"6"
5872,"5"
5873,"6"
5874,"6"
5875,"7"
5876,"6"
5877,"6"
5878,"7"
5879,"5"
5880,"5"
5881,"6"
5882,"6"
5883,"6"
5884,"6"
5885,"6"
5886,"7"
5887,"6"
5888,"6"
5889,"6"
5890,"7"
5891,"6"
5892,"6"
5893,"6"
5894,"6"
5895,"6"
5896,"5"
5897,"6"
5898,"7"
5899,"6"
5900,"6"
5901,"6"
5902,"5"
5903,"6"
5904,"6"
5905,"5"
5906,"7"
5907,"6"
5908,"7"
5909,"6"
5910,"7"
5911,"6"
5912,"7"
5913,"6"
5914,"5"
5915,"6"
5916,"6"
5917,"5"
5918,"7"
5919,"5"
5920,"6"
5921,"5"
5922,"5"
5923,"6"
5924,"7"
5925,"7"
5926,"7"
5927,"7"
5928,"6"
5929,"5"
5930,"6"
5931,"5"
5932,"5"
5933,"6"
5934,"6"
5935,"6"
5936,"6"
5937,"6"
5938,"6"
5939,"6"
5940,"5"
5941,"6"
5942,"7"
5943,"6"
5944,"5"
5945,"5"
5946,"6"
5947,"6"
5948,"6"
5949,"7"
5950,"7"
5951,"7"
5952,"7"
5953,"5"
5954,"5"
5955,"5"
5956,"6"
5957,"6"
5958,"5"
5959,"6"
5960,"7"
5961,"7"
5962,"5"
5963,"6"
5964,"6"
5965,"6"
5966,"6"
5967,"6"
5968,"5"
5969,"6"
5970,"7"
5971,"7"
5972,"6"
5973,"6"
5974,"7"
5975,"7"
5976,"6"
5977,"6"
5978,"7"
5979,"6"
5980,"6"
5981,"6"
5982,"5"
5983,"5"
5984,"6"
5985,"7"
5986,"7"
5987,"6"
5988,"6"
5989,"6"
5990,"5"
5991,"6"
5992,"5"
5993,"6"
5994,"7"
5995,"6"
5996,"5"
5997,"5"
5998,"6"
5999,"6"
6000,"6"
6001,"7"
6002,"6"
6003,"6"
6004,"5"
6005,"7"
6006,"6"
6007,"5"
6008,"6"
6009,"6"
6010,"6"
6011,"6"
6012,"6"
6013,"6"
6014,"6"
6015,"5"
6016,"6"
6017,"5"
6018,"7"
6019,"6"
6020,"7"
6021,"7"
6022,"6"
6023,"6"
6024,"6"
6025,"6"
6026,"5"
6027,"7"
6028,"5"
6029,"7"
6030,"6"
6031,"5"
6032,"5"
6033,"5"
6034,"6"
6035,"6"
6036,"5"
6037,"5"
6038,"6"
6039,"6"
6040,"5"
6041,"5"
6042,"6"
6043,"5"
6044,"7"
6045,"6"
6046,"7"
6047,"6"
6048,"5"
6049,"6"
6050,"5"
6051,"6"
6052,"6"
6053,"7"
6054,"6"
6055,"7"
6056,"7"
6057,"6"
6058,"6"
6059,"6"
6060,"7"
6061,"5"
6062,"7"
6063,"6"
6064,"5"
6065,"5"
6066,"5"
6067,"6"
6068,"6"
6069,"5"
6070,"5"
6071,"6"
6072,"7"
6073,"7"
6074,"6"
6075,"6"
6076,"5"
6077,"6"
6078,"5"
6079,"6"
6080,"6"
6081,"6"
6082,"6"
6083,"6"
6084,"6"
6085,"6"
6086,"5"
6087,"6"
6088,"6"
6089,"6"
6090,"5"
6091,"6"
6092,"5"
6093,"6"
6094,"6"
6095,"5"
6096,"5"
6097,"6"
6098,"5"
6099,"6"
6100,"5"
6101,"6"
6102,"6"
6103,"7"
6104,"5"
6105,"7"
6106,"6"
6107,"5"
6108,"6"
6109,"6"
6110,"6"
6111,"7"
6112,"6"
6113,"6"
6114,"5"
6115,"5"
6116,"5"
6117,"6"
6118,"7"
6119,"6"
6120,"5"
6121,"5"
6122,"6"
6123,"5"
6124,"6"
6125,"7"
6126,"5"
6127,"6"
6128,"6"
6129,"5"
6130,"7"
6131,"6"
6132,"6"
6133,"5"
6134,"7"
6135,"7"
6136,"7"
6137,"6"
6138,"6"
6139,"7"
6140,"6"
6141,"5"
6142,"6"
6143,"7"
6144,"5"
6145,"6"
6146,"6"
6147,"6"
6148,"7"
6149,"6"
6150,"7"
6151,"5"
6152,"6"
6153,"6"
6154,"6"
6155,"6"
6156,"6"
6157,"6"
6158,"5"
6159,"5"
6160,"6"
6161,"5"
6162,"6"
6163,"7"
6164,"6"
6165,"7"
6166,"7"
6167,"6"
6168,"6"
6169,"7"
6170,"7"
6171,"6"
6172,"6"
6173,"6"
6174,"7"
6175,"6"
6176,"6"
6177,"6"
6178,"7"
6179,"6"
6180,"6"
6181,"6"
6182,"6"
6183,"6"
6184,"7"
6185,"6"
6186,"6"
6187,"5"
6188,"6"
6189,"7"
6190,"6"
6191,"6"
6192,"6"
6193,"7"
6194,"6"
6195,"6"
6196,"5"
6197,"5"
6198,"7"
6199,"7"
6200,"6"
6201,"7"
6202,"6"
6203,"6"
6204,"6"
6205,"7"
6206,"7"
6207,"5"
6208,"6"
6209,"5"
6210,"6"
6211,"7"
6212,"5"
6213,"6"
6214,"5"
6215,"8"
6216,"6"
6217,"6"
6218,"5"
6219,"6"
6220,"5"
6221,"6"
6222,"5"
6223,"5"
6224,"6"
6225,"5"
6226,"5"
6227,"6"
6228,"6"
6229,"6"
6230,"7"
6231,"6"
6232,"6"
6233,"7"
6234,"6"
6235,"6"
6236,"6"
6237,"5"
6238,"5"
6239,"7"
6240,"6"
6241,"6"
6242,"6"
6243,"7"
6244,"5"
6245,"7"
6246,"5"
6247,"5"
6248,"5"
6249,"6"
6250,"6"
6251,"6"
6252,"5"
6253,"6"
6254,"7"
6255,"6"
6256,"5"
6257,"6"
6258,"6"
6259,"6"
6260,"6"
6261,"6"
6262,"6"
6263,"7"
6264,"6"
6265,"7"
6266,"5"
6267,"6"
6268,"5"
6269,"6"
6270,"6"
6271,"5"
6272,"7"
6273,"6"
6274,"6"
6275,"5"
6276,"7"
6277,"6"
6278,"6"
6279,"6"
6280,"6"
6281,"5"
6282,"7"
6283,"5"
6284,"5"
6285,"7"
6286,"6"
6287,"6"
6288,"6"
6289,"7"
6290,"6"
6291,"5"
6292,"7"
6293,"5"
6294,"5"
6295,"5"
6296,"5"
6297,"6"
6298,"6"
6299,"5"
6300,"7"
6301,"7"
6302,"7"
6303,"5"
6304,"5"
6305,"6"
6306,"6"
6307,"7"
6308,"6"
6309,"5"
6310,"6"
6311,"6"
6312,"6"
6313,"7"
6314,"5"
6315,"6"
6316,"7"
6317,"6"
6318,"6"
6319,"5"
6320,"6"
6321,"7"
6322,"7"
6323,"6"
6324,"5"
6325,"7"
6326,"5"
6327,"5"
6328,"5"
6329,"5"
6330,"5"
6331,"6"
6332,"6"
6333,"5"
6334,"5"
6335,"6"
6336,"5"
6337,"5"
6338,"5"
6339,"5"
6340,"7"
6341,"6"
6342,"6"
6343,"6"
6344,"5"
6345,"5"
6346,"5"
6347,"6"
6348,"5"
6349,"6"
6350,"6"
6351,"6"
6352,"5"
6353,"6"
6354,"6"
6355,"5"
6356,"5"
6357,"5"
6358,"6"
6359,"5"
6360,"6"
6361,"6"
6362,"6"
6363,"6"
6364,"5"
6365,"5"
6366,"7"
6367,"5"
6368,"6"
6369,"5"
6370,"6"
6371,"6"
6372,"7"
6373,"6"
6374,"5"
6375,"6"
6376,"6"
6377,"6"
6378,"6"
6379,"6"
6380,"6"
6381,"5"
6382,"7"
6383,"6"
6384,"5"
6385,"6"
6386,"5"
6387,"5"
6388,"6"
6389,"7"
6390,"6"
6391,"6"
6392,"5"
6393,"5"
6394,"6"
6395,"7"
6396,"7"
6397,"5"
6398,"5"
6399,"6"
6400,"6"
6401,"6"
6402,"6"
6403,"5"
6404,"6"
6405,"6"
6406,"6"
6407,"7"
6408,"6"
6409,"6"
6410,"7"
6411,"7"
6412,"7"
6413,"6"
6414,"6"
6415,"6"
6416,"6"
6417,"6"
6418,"6"
6419,"6"
6420,"5"
6421,"6"
6422,"6"
6423,"5"
6424,"8"
6425,"7"
6426,"6"
6427,"6"
6428,"5"
6429,"6"
6430,"6"
6431,"5"
6432,"7"
6433,"6"
6434,"6"
6435,"5"
6436,"7"
6437,"7"
6438,"6"
6439,"5"
6440,"6"
6441,"6"
6442,"6"
6443,"5"
6444,"6"
6445,"8"
6446,"5"
6447,"5"
6448,"6"
6449,"6"
6450,"6"
6451,"5"
6452,"6"
6453,"7"
6454,"6"
6455,"7"
6456,"6"
6457,"5"
6458,"6"
6459,"5"
6460,"5"
6461,"6"
6462,"6"
6463,"5"
6464,"6"
6465,"7"
6466,"7"
6467,"6"
6468,"7"
6469,"7"
6470,"6"
6471,"6"
6472,"6"
6473,"6"
6474,"7"
6475,"7"
6476,"6"
6477,"5"
6478,"5"
6479,"6"
6480,"6"
6481,"6"
6482,"6"
6483,"7"
6484,"5"
6485,"6"
6486,"6"
6487,"7"
6488,"6"
6489,"6"
6490,"6"
6491,"7"
6492,"6"
6493,"6"
6494,"6"
6495,"7"
6496,"6"
6497,"7"
